near_fid,near_x,near_y,near_angle,heard,building,xcoor,ycoor,noise,in_vehicle,asleep,no_windows,age
2712,1998301.4112,9011692.1615,-171.58867233,1,0,1999193.0,9011824,0,0,0,0,59
2721,1928906.9557,8954624.3925,-51.208102175,1,0,1928298.0,8955382,0,0,0,0,29
297,2026383.7565,8256164.2038,39.018753723,1,0,2025706.0,8255615,0,0,0,0,32
739,1743183.9663,8052651.9247,15.04602166,1,0,1742935.0,8052585,0,0,0,0,36
1852,1350375.2206,7909849.8137,144.60316958,1,0,1350807.0,7909543,0,0,0,0,55
2737,1934971.1963,8959612.5983,-159.47762103,0,1,1938739.0,8961023,0,0,0,1,62
3692,1327964.3808,7940968.3723,18.712045288,1,1,1327733.0,7940890,0,0,0,0,74
404,2005311.9788,8234592.4564,146.60217908,1,0,2007113.0,8233405,0,0,0,0,24
133,2010260.0189,8244737.1173,91.888990879,1,0,2010284.0,8244010,0,0,0,0,66
2003,1339570.2169,7892866.1612,160.65472646,1,1,1340898.0,7892400,0,0,0,0,53
2430,1833571.274,8315400.1183,-118.52526995,1,1,1834143.0,8316452,0,0,0,0,39
341,1963165.6403,8227019.4224,158.18887144,1,0,1964581.0,8226453,1,0,0,0,27
743,1726371.7176,8056908.506,167.59771951,1,0,1726756.0,8056824,1,0,0,0,55
1688,1389403.3888,7741737.0942,-128.62236685,1,0,1389488.0,7741843,0,0,0,0,77
1272,1833273.1605,7811875.7757,177.11316497,1,1,1833586.0,7811860,0,0,0,0,57
563,1967804.8802,8371272.0045,113.60038784,1,0,1967946.0,8370949,0,0,0,0,52
1511,1445236.7926,7478409.8528,154.65875747,0,1,1445568.0,7478253,0,0,0,0,79
1481,1454980.6991,7475455.7513,-32.679277258,1,1,1454628.0,7475682,0,0,0,0,44
845,1506799.254,7822308.8422,-147.6844737,1,0,1507288.0,7822618,0,0,0,0,19
3768,1693904.0522,8240579.578,-24.432988608,1,0,1692873.0,8241048,0,0,0,0,40
451,2029022.1398,8231812.9011,170.26898211,1,0,2037057.0,8230435,0,0,0,0,39
1505,1451602.0411,7471164.0038,117.74273624,1,0,1452138.0,7470145,1,0,0,0,26
211,2000884.3574,8251512.3043,-157.8988762,1,1,2002009.0,8251969,0,0,0,0,41
525,1964978.4782,8363281.5848,-39.505272498,0,1,1964528.0,8363653,0,0,0,0,27
2823,1641133.6043,9139084.0768,110.55543344,1,0,1641383.0,9138419,0,0,0,0,51
535,1967710.1472,8369323.697,-86.139400619,1,0,1967650.0,8370215,0,0,0,0,77
1543,1444321.1898,7479204.6607,122.79084755,1,1,1444368.0,7479132,0,0,0,0,73
3962,2010663.552,8275209.7574,39.1855894,1,0,2010524.0,8275096,0,0,0,0,81
2929,2575349.7029,9838812.3978,-124.24509791,1,1,2575538.0,9839089,0,0,0,0,63
3631,1432880.9971,7607246.6642,-111.54570016,1,1,1432998.0,7607543,0,0,0,0,44
3906,1851638.8728,9106026.7688,110.6433058,0,0,1874254.0,9045998,1,1,0,0,52
2760,1932046.6106,8968860.246,87.554351104,1,0,1932005.0,8967886,0,0,0,0,72
785,1802623.6764,8091886.0419,-70.113912456,1,0,1802411.0,8092474,0,0,0,0,55
3894,2086033.0812,9164303.4032,42.291791608,1,0,2084675.0,9163068,0,0,0,0,78
3688,1331433.764,7940057.1939,-144.94645025,1,0,1331834.0,7940338,0,0,0,0,58
3630,1431607.7248,7605932.1384,-155.73740101,1,0,1431796.0,7606017,0,0,0,0,41
104,2010184.099,8249439.7428,-135.58989265,1,0,2010461.0,8249711,0,0,0,0,71
2808,1627275.1068,9145380.1989,-82.051743379,1,0,1627207.0,9145868,0,0,0,0,39
180,2002180.0049,8241483.0316,18.542592018,0,0,2000889.0,8241050,0,1,0,0,63
3518,1463847.2964,7437070.844,-27.983443992,1,1,1463512.0,7437249,1,0,0,0,46
90,2005515.9161,8251379.4109,-143.69268791,1,1,2005744.0,8251547,0,0,0,0,22
226,1985243.1898,8258828.3926,-134.45787916,1,0,1985756.0,8259351,1,0,0,0,72
99,2008083.6116,8249784.8749,161.99810651,1,0,2008114.0,8249775,0,0,0,0,66
94,2008910.7153,8252284.6176,-146.34056785,1,0,2009093.0,8252406,0,0,0,0,82
2050,1344192.87,7885144.6511,-143.81327778,0,0,1347645.0,7887670,1,0,0,0,48
2059,1342580.5185,7885653.1328,-103.85791699,1,0,1343326.0,7888675,0,0,0,0,51
286,2017252.7754,8259841.9923,138.22694146,1,0,2017714.0,8259430,0,0,0,0,20
83,2004656.8636,8253798.9253,167.02840323,1,1,2004726.0,8253783,0,0,0,0,50
2741,1928559.9729,8964623.273,151.32435988,1,0,1928981.0,8964393,0,0,0,0,71
146,2011754.1491,8243844.385,-121.32811963,1,0,2011830.0,8243969,0,0,0,0,42
4150,1388148.039,8115011.9869,116.8756137,1,0,1388444.0,8114428,0,0,0,0,68
2628,1757782.8495,8402420.9555,-140.77869909,1,0,1773964.0,8415628,0,0,0,0,32
2621,1779292.113,8464394.5381,-28.262951711,0,0,1753092.0,8478480,0,0,0,0,64
1896,1333944.7977,7902374.3718,20.958444076,1,1,1333500.0,7902204,1,0,0,0,57
1507,1452627.2937,7472460.8456,-45.469032097,1,1,1452454.0,7472637,0,0,0,0,30
643,1904371.3607,8109682.0462,54.326001418,1,1,1904306.0,8109591,0,0,0,0,28
744,1734064.5624,8052397.3885,59.185626126,0,1,1733682.0,8051756,0,0,1,0,54
